Started: 17-Mar-2014 15:05
TrialNumber	NumChunksNum	Trial	ArrowDirection	LadderNumber	LadderNum_SSD	SubjectResponse	LadderMovement	RT	actualSSD	actualSSD_plusCMDtime	absoluteTime	TimeStartBlock	DrewsActualSSD	TrialDuration_trialcode	TrialCourse_trialcode	
110	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	158.250
111	2	1	1	1	750	31	0	0.836	0.000	0.000	159.521	160.038	0.755	1.500	159.500
112	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.875	161.000
113	2	0	0	0	0	0	0	0.000	0.000	0.000	162.905	163.421	0.000	1.500	162.875
114	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	164.375
115	2	1	1	2	800	31	0	0.895	0.000	0.000	164.905	165.421	0.804	1.500	164.875
116	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	166.375
117	2	0	0	0	0	0	0	0.000	0.000	0.000	167.021	167.538	0.000	1.500	167.000
118	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.000	168.500
119	2	0	1	0	0	31	0	0.912	0.000	0.000	170.521	171.038	0.000	1.500	170.500
120	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.625	172.000
121	2	0	1	0	0	0	0	0.000	0.000	0.000	173.655	174.171	0.000	1.500	173.625
122	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.000	175.125
123	2	1	0	1	700	0	0	0.000	0.000	0.000	177.155	177.671	0.000	1.500	177.125
124	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	178.625
125	2	0	0	0	0	30	0	0.906	0.000	0.000	180.021	180.538	0.000	1.500	180.000
126	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	181.500
127	2	0	1	0	0	31	0	0.849	0.000	0.000	182.655	183.171	0.000	1.500	182.625
128	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	184.125
129	2	0	1	0	0	31	0	0.993	0.000	0.000	184.905	185.421	0.000	1.500	184.875
130	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	186.375
131	2	0	0	0	0	30	0	0.811	0.000	0.000	187.271	187.788	0.000	1.500	187.250
132	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	188.750
133	2	1	1	1	750	0	0	0.000	0.000	0.000	189.771	190.288	0.000	1.500	189.750
134	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	191.250
135	2	0	0	0	0	30	0	0.882	0.000	0.000	192.405	192.921	0.000	1.500	192.375
136	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.625	193.875
137	2	0	1	0	0	31	0	0.872	0.000	0.000	195.521	196.038	0.000	1.500	195.500
138	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.000	197.000
139	2	0	1	0	0	31	0	0.943	0.000	0.000	199.021	199.538	0.000	1.500	199.000
140	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.000	200.500
141	2	0	0	0	0	30	0	0.947	0.000	0.000	202.521	203.038	0.000	1.500	202.500
142	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	204.000
143	2	1	0	2	750	0	0	0.000	0.000	0.000	204.905	205.421	0.000	1.500	204.875
144	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	206.375
145	2	1	1	2	800	0	0	0.000	0.000	0.000	207.205	207.721	0.000	1.500	206.875
146	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	208.375
147	2	0	1	0	0	0	0	0.000	0.000	0.000	209.555	210.071	0.000	1.500	208.875
148	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	210.375
149	2	1	0	1	800	0	0	0.000	0.000	0.000	211.655	212.171	0.000	1.500	211.625
150	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	213.125
151	2	0	0	0	0	30	0	0.977	0.000	0.000	214.005	214.521	0.000	1.500	213.875
152	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.000	215.375
153	2	0	0	0	0	0	0	0.000	0.000	0.000	217.405	217.921	0.000	1.500	217.375
154	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	218.875
155	2	0	0	0	0	30	0	0.965	0.000	0.000	219.405	219.921	0.000	1.500	219.375
156	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	220.875
157	2	0	1	0	0	0	0	0.000	0.000	0.000	221.521	222.038	0.000	1.500	221.500
158	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	223.000
159	2	0	1	0	0	0	0	0.000	0.000	0.000	223.655	224.171	0.000	1.500	223.625
160	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	225.125
161	2	0	1	0	0	0	0	0.000	0.000	0.000	225.771	226.288	0.000	1.500	225.750
162	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	227.250
163	2	0	1	0	0	31	0	0.801	0.000	0.000	228.405	228.921	0.000	1.500	228.375
164	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	229.875
165	2	0	0	0	0	30	0	0.866	0.000	0.000	230.405	230.921	0.000	1.500	230.375
166	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	231.875
167	2	0	1	0	0	31	0	0.859	0.000	0.000	232.771	233.288	0.000	1.500	232.750
168	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	234.250
169	2	0	0	0	0	30	0	0.888	0.000	0.000	235.771	236.288	0.000	1.500	235.750
