Date,2014/4/22 17:55
Script,FracBack_OSX
Version,v0.1beta
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
Date,2014/4/22 17:57
Script,FracBack_OSX
Version,v0.1beta
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
Date,2014/4/22 17:58
Script,FracBack_OSX
Version,v0.1beta
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
4,1,9,1,L,TRUE,6^,1,0.44069,0.48413,1.4826,34977.9751,34982.9987,34999.0083,34999.4924,21  41
4,1,10,1,W,FALSE,7&,1,0.46043,0.50083,1.4793,34977.9751,34982.9987,35000.9949,35001.4957,22  41
4,1,11,1,W,TRUE,6^,1,0.53038,0.50083,1.4761,34977.9751,34982.9987,35002.9982,35003.499,21  41
4,1,12,1,C,FALSE,7&,1,0.80814,0.50083,1.4728,34977.9751,34982.9987,35005.0015,35005.5023,22  41
4,1,13,1,F,FALSE,7&,1,0.50136,0.50081,1.4695,34977.9751,34982.9987,35007.0048,35007.5056,22  41
4,1,14,1,F,TRUE,6^,1,0.4338,0.50082,1.4829,34977.9751,34982.9987,35008.9913,35009.4922,21  41
4,1,15,1,P,FALSE,7&,1,0.49319,0.50082,1.4796,34977.9751,34982.9987,35010.9946,35011.4955,22  41
5,1,1,2,R,FALSE,7&,1,0.80678,0.50083,1.4754,35011.5133,35016.5371,35016.5371,35017.0379,22  41
5,1,2,2,N,FALSE,6^,0,0.4678,0.50083,1.4721,35011.5133,35016.5371,35018.5404,35019.0412,22  42
5,1,3,2,K,FALSE,7&,1,0.78444,0.50083,1.4688,35011.5133,35016.5371,35020.5436,35021.0445,22  41
5,1,4,2,V,FALSE,7&,1,0.9987,0.50084,1.4822,35011.5133,35016.5371,35022.5303,35023.0311,22  41
5,1,5,2,W,FALSE,7&,1,0.63429,0.50082,1.479,35011.5133,35016.5371,35024.5335,35025.0344,22  41
5,1,6,2,V,TRUE,7&,0,0.51826,0.50083,1.4757,35011.5133,35016.5371,35026.5368,35027.0377,21  42
5,1,7,2,P,FALSE,7&,1,0.50146,0.50082,1.4724,35011.5133,35016.5371,35028.5401,35029.0409,22  41
5,1,8,2,G,FALSE,7&,1,0.51303,0.50084,1.4691,35011.5133,35016.5371,35030.5434,35031.0442,22  41
5,1,9,2,P,TRUE,6^,1,0.49438,0.50082,1.4825,35011.5133,35016.5371,35032.53,35033.0308,21  41
5,1,10,2,J,FALSE,7&,1,0.26693,0.50083,1.4792,35011.5133,35016.5371,35034.5333,35035.0341,22  41
